Competency,Question,Answer,Topics,Level Of Questions
Salesforce,There is a reporting requirement to display leads with open low priority tasks. What reporting feature would be used for this requirement?,"Cross filter and sub filter is used for such a requirement.                                                                   Cross Filter - Use a cross filter to fine-tune your results by including or excluding records from related objects and their fields, without having to write formulas or code. You can apply cross filters by themselves or in combination with field filters.                                                                 Sub Filter – A filter within a cross filter.",Configuration Admin,Easy
Salesforce,What is a skinny table? What are the considerations for Skinny Table?,"Skinny tables are used in Salesforce to navigate commonly used fields and to prevent connections. This increases efficiency in significant part. Skinny tables are highly reliable, so much so that skinny tables are synchronised with source tables even when the source tables are updated.                                                Skinny tables can contain up to 100 columns at most.                                                                                  Skinny tables cannot contain additional object fields.",Configuration Admin,Medium
Salesforce,If you want to import 2000 User records which data migration tool will you use?,Data Loader. Data import wizard does not support User object.,Configuration Admin,Easy
Salesforce,How to prevent duplicate data in salesforce? What is the difference between duplicate rule and matching rule? ,Using matching rule and duplicate rule we can prevent duplicate data. Matching rule is used to identify duplicate data. With duplicate rules you can determine what to do with duplicate records. You can block users to create duplicate records.,Configuration Admin,Easy
Salesforce,For a data loader what is the maximum batch size?,"Minimum 1 to maximum 10,000 records if the range of data loader.",Configuration Admin,Easy
Salesforce,Can we create a field on Person Account directly?,No. We need to create a field on contact which will appear for Person Account as well. Fields created on Contact appear on Account with extension __pc.,Configuration Admin,Easy
Salesforce,Can you merge Person Account with Business Account?,No. Merging can be done with same type of Objects Therefore Person Account can be merged with only other Person Account.,Configuration Admin,Easy
Salesforce,Name some Salesforce Standard Fields?,"Below mentioned are the Salesforce Standard Fields                                                             Owner, Name, Last Modified by, Created By",Configuration Admin,Easy
Salesforce,"When you freeze a user in organization, does it free the license?",Freezing user account doesn’t free the user licenses available for use in your organization. We have to deactivate the user to free the license.,Configuration Admin,Easy
Salesforce,List some possible ways to make the field mandatory?,By clicking the required checkbox while creating.                                                                             Through the page layout.                                                     Through the Trigger.                                                         Through the validation rules.,Configuration Admin,Easy
Salesforce,"If a user has permissions to create, read edit and delete on an object, will they be able to do all these things on records? ","Not Necessarily, because after object level security there are another layer of security like Field level security and Record level security, which may restrict user to access records. ",Configuration Admin,Easy
Salesforce,"How will you store zip files, images, jar files, JavaScript and CSS files that can be referred in a visual force page?",With the help of static resource feature in salesforce you can store all these files,Configuration Admin,Easy
Salesforce,Why Salesforce don’t allow us to delete the users even if we don’t want them anymore?,"If the user created a record, then he became the owner of the particular record. Assigning the ownership will be a big task if we delete the users.",Configuration Admin,Easy
Salesforce,How to restrict login of user based on ip address?,With the help of Login IP Ranges in org setup we can restrict user login based on ip address.,Configuration Admin,Easy
Salesforce,Can we restrict user login based on time?,"Yes, by login hours in org setup we can restrict user login based on time. ",Configuration Admin,Easy
Salesforce,What would be the best possible solution to keep the application intact and running and yet have the user deactivated?,"You can freeze user accounts to prevent users from logging into your organization while you perform the steps to deactivate them.                                         So, in this way, until you find ways to remove this User from Role hierarchy/assignment rules/update the Owner of the records created by him / from any place where this user is used, we can make use of FREEZE button on the user record.",Configuration Admin,Easy
Salesforce,"If a user is saying that he is unable to login into Salesforce, how will you troubleshoot his login issue?","-   Confirm the login credentials (username and password) are correct.
-   Reset Salesforce password.
-   Confirm browser bookmark directs to the correct login page.
-   Confirm browser does not block Salesforce cookies.
-   Review Salesforce profile permissions.",Configuration Admin,Easy
Salesforce,How to convert the 15 Digit Id to 18 Digit in the formula field?,Using this CASESAFEID(id) formula we can convert the 15-digit id to 18-digit.,Configuration Admin,Medium
Salesforce,Can you differentiate WhoId and WhatId in activities?,"WhoID refers to people. Typical: contacts (or) leads. Example: ContactID,LeadID                                        WhatID refers to objects. Example: OpportunityID, AccountID",Configuration Admin,Medium
Salesforce,"Can custom field in lead be mapped to standard field of accounts, contact and opportunity. ",No. Custom field can only be mapped to custom field.,Configuration Admin,Medium
Salesforce,How to perform multiple actions on multiple records at the same time.,With the help of Bulk Macros we can perform multiple actions on multiple records at the same time. ,Configuration Admin,Medium
Salesforce,What Is the Use Of “transfer Record” In Profile?,"If user have only Read access on particular record but he wants to change the owner name of that record, then in profile level Transfer Record enables he can able to change the owner.",Configuration Admin,Hard
Salesforce,How to clear the Time-based workflow action queue?,  We can clear time-based workflow action queue in two ways they are                       1.       Make the criteria false.                                            2.       Removing scheduled actions from the queue.,Configuration Admin,Easy
Salesforce,Will we get the relationship back if we undelete the deleted Junction Object records?,"If we undelete the junction object records, we will not get the relationships.",Configuration Admin,Easy
Salesforce,"In which scenario, Salesforce won't allow us to convert the Master-detail relationship      to lookup relationship?","If we have roll-up summary field, then conversion is not possible.",Configuration Admin,Easy
Salesforce,I want a user from profile ‘A’ to see different set of picklist values and the user from profile B. How to achieve this?,We can achieve this using record type. For the profile A and profile B we need to create two different record types and based on this we can have a different set of values,Configuration Admin,Easy
Salesforce,Name a few aggregate functions that are supported by Salesforce SOQL Apex?,Following aggregate functions are supported by Salesforce SOQL-                                      •Sum ()   •Min()  •Max()  •Count()  •Avg()             •Count_Distinct(),Configuration Admin,Easy
Salesforce,Which SOQL statement can be used to get all records even from recycle bin or Achieved Activities?,We will need “ALL Rows” clause of SOQL.   For Ex: SELECT COUNT() FROM Contact WHERE AccountId = a.Id ALL ROWS,Configuration Admin,Easy
Salesforce,Does Account objects have a queue? ,"No, Account objects don’t have a queue",Configuration Admin,Easy
Salesforce,Give an Example of a Standard Object That’s Also Junction Object.,"OpportunityContactrole is the junction between Opportunity and Contact, and also Quote is junction between Contract and Opportunity.",Configuration Admin,Medium
Salesforce,How do we allow re-parenting of a record?,Reparenting option let the user change parent reference of a record.                                           To allow re-parenting of a parent reference check the 'Allow reparenting' checkbox in the master-detail field definition.,Configuration Admin,Medium
Salesforce,"There is an object called Employee Details, and another object called Salary Info, think from a business perspective. If you want to combine the 2 objects, what will you choose in the relationship?",This can be seen with Master-Detail Relationship.,Configuration Admin,Medium
Salesforce,Is it possible to convert Master – Detail Relationship to Look Up Relationship?,If the parent object doesn’t have Roll up Summary fields for the child object then we can convert.,Configuration Admin,Medium
Salesforce,"I have a junction object, which connects Object A and Object B. If I delete the record from the Object A, then what will happen?","Hence in the junction object, both A and B was in Master detail relationships. If we delete the A or B record, then the junction record will get deleted.",Configuration Admin,Medium
Salesforce,How to display the data information to a specific user in a dashboard?,By dynamic dashboard we can display the data information to a specific user. ,Configuration Admin,Easy
Salesforce,"If a user is not able to view Reports and Dashboards, how will you provide access to him to Reports and Dashboards?",Create and Customize Reports and Manage public Reports permissions in Profile.,Configuration Admin,Easy
Salesforce,For showing a single value within a range of custom values which dashboard component you will use?,We can use Guage for showing a single value within a range of custom values.,Configuration Admin,Easy
Salesforce,How many owners can a task have? ,"Tasks can only have one owner at a time. If you reassign the task to someone else, it no longer appears in your task list, unless the person is below you in the role hierarchy. In that case, you see the task in the Delegated view in your task list",Configuration Admin,Medium
Salesforce,"As things are time taking client wants a report wherein a single screen, without doing anything, can see SALE PER COUNTRY? And in another report, sales per country per mobile brand?",This can be viewed in the Summary Report.,Configuration Admin,Medium
Salesforce,"The client wants to see data from mobile sell DB and Home Appliance sell DB together to take the decision of next financial year planning. Also, the client wants to group the sell, discount related columns grouped together?",They can see all the required data by using the Joined Report.,Configuration Admin,Medium
Salesforce,When do you use data loader?  ,"Need to load more than 50,000 records                       You need to load into an object that is not yet supported by the import wizards.                                         You want to schedule regular data loads, such as nightly imports.                                                               You want to export your data for backup purposes  ",Configuration Admin,Easy
Salesforce,When do you use import wizards?,"You are loading less than 50,000 records.                          You want to prevent duplicates by uploading records according to account name, contact email address, or lead email address. ",Configuration Admin,Easy
Salesforce,Is it possible to achieve Many to Many relationships by using lookup relationships?,"Yes, it is possible by using Junction Object.                     Junction Object: This is a custom object with 2 Master - Detail relationships are the key to making Many to Many relationships.",Configuration Admin,Easy
Salesforce,Difference between Role and Profile in Salesforce?,"Roles allow to control the access to Salesforce and has an impact on reports. They have control over the visibility level of organizational users. The users of a specific role level can view, edit and report on all the data, shared/owned by the users who fall below in the hierarchy.                                                                     Profiles are mandatory for all users. Profile controls the access to which records a user has in the Salesforce org.",Configuration Admin,Easy
Salesforce,We have 2 users A and B under same profile and Role. How can we restrict records of A to B and Vice versa?,In profile set View all data and modify all data permission to ‘false’. This will restrict user to access data created by other users.,Configuration Admin,Easy
Salesforce,List objects which are available for salesforce business process,"Lead, Opportunity, Case, Solution",Configuration Admin,Easy
Salesforce,User A can see User B’s data but User B cannot see User A’s data. How can we resolve it?,"1. Check whether both users have same profile or not?
2. Check Role Hierarchy of User A and B.
3. Check Sharing rule",Configuration Admin,Easy
Salesforce,What are differences between custom settings and custom objects? ,"Custom Settings: 
1. Custom settings are SOQL inexpensive 
2. We can’t write triggers on custom settings 
3. Fields on which we can create custom settings are restricted like picklists, lookups and formula fields can’t be created in custom settings 
4. No Page layouts, record types, validation rules and workflow rules can be used on custom settings 

Custom Objects: 
1. Custom Objects are SOQL Expensive 
2. We can have triggers on custom objects 
3. No restrictions on creation of fields 
4. Can be used on Custom objects ",Configuration Admin,Medium
Salesforce,How to create many to many relationships between object? ,"Creating many to many relationship in salesforce is little tricky. You cannot create this type of relationship directly. Follow below steps to create this type of relationship. 
Create both objects which should be interlinked. 
Create one custom object (also called as junction object), which should have auto number as unique identification and create two master relationships for both objects, no need create tab for this object.  
Now on both objects, add this field as related list. ",Configuration Admin,Medium
Salesforce,How many ways a field can be made mandatory? ,"A field can be made mandatory in 4 ways. 
1. While creating a field, we can make it mandatory 
2. Using Page Layouts 
3. Using Triggers 
4. Validation Rules ",Configuration Admin,Medium
Salesforce,If the field is mandatory at page layout level and if we try to inert records through data loader without populating those mandatory fields what will happen? ,If the field is mandatory at page layout level then only while inserting records from page layout level if we won't populate the fields with values it will throw error. If we insert records from data loader it won't throw. Even if we mention the record type while inserting record through program it will throw error message. ,Configuration Admin,Hard
Salesforce,What is a VLOOKUP in Salesforce? ,VLOOKUP is actually a function in sales force which is used to bring relevant value to that record from another record automatically. ,Configuration Admin,Easy
Salesforce,What are the types of relationships present in Salesforce? ,"4 types 
Master-Detail 
Lookup 
Junction Object 
Hierarchy ",Configuration Admin,Medium
Salesforce,What is junction Object and what does it mean? ,"Junction object is a custom object which is used to create many to many relationship between two objects.  
It always contains two Master-Detail relationships. ",Configuration Admin,Hard
Salesforce,Differences between Master-Detail and Lookup? ,"Both are used to create one to many relationship between two objects. 
In case of MD, if Parent is deleted, child is also deleted. 
In case of Lookup, if Parent is deleted, child is not deleted. 
In MD, Child is mandatory, but in Lookup, child is not mandatory. ",Configuration Admin,Medium
Salesforce,What are types of custom tabs are available in salesforce? ,"There are 3 types of custom tabs are available in salesforce 
1. Custom Object Tabs 
2.Visualforce Tabs 
3.Web Tabs ",Configuration Admin,Easy
Salesforce,What are the difference between 15 digit id and 18 digit id? ,"Difference between 15 digit ID and 18 digit ID is,  
15 digit id is case sensitive 
18 digit id is case insensitive 
Last 3 characters of the 18 digit id represent the checksum of the capitalization of the first 15 digits ",Configuration Admin,Medium
Salesforce,What is translation workbench in salesforce? ,Translation workbench is a salesforce feature for implementing the language in multiple languages. i.e not just the data but also all your configurations and customizations that you do as part of the implementation. ,Configuration Admin,Medium
Salesforce,What is workbench in salesforce? ,"Workbench is a powerful, web-based suite of tools designed for administrators and developers to interact with salesforce.com organizations via the force.com APIs. Workbench includes robust support for the Force.com Partner, Bulk, Rest, Streaming, Metadata, and Apex APIs that allows users to describe, query, manipulate, and migrate both data and metadata in Salesforce.com organizations directly in their web browser with a simple and intuitive user interface ",Configuration Admin,Medium
Salesforce,What is app exchange? ,The developed custom applications can be uploaded into the app exchange so that the other person can share the application. ,Configuration Admin,Easy
Salesforce,How often do Salesforce update the software? ,"The background software is typically updated thrice a year, Spring, Winter and Summer. Software updates are transparent to the user base and only require a small maintenance window over the weekend. ",Configuration Admin,Medium
Salesforce,Can I have custom development within the Salesforce.com platform? ,"Yes, there are a number of different programming solutions available depending on the type of development required. There is the FORCE.COM development environment and typically Apex and Java languages that can be used. ",Configuration Admin,Easy
Salesforce,How easy is it to customize the environment to reflect the way my business works? ,"It is relatively easy to configure the look and feel, add new fields, load up your company logo and change page layouts. You should always have a CRM strategy before you start and consider the impact of change on your data.  ",Configuration Admin,Easy
Salesforce,How much space do I get with Salesforce? ,"All customers receive the default minimum storage amount of 1GB of data and 1GB of files. 
Group Edition has 1GB of data and 1GB of file storage shared by all users. Professional and Enterprise Editions provide 20MB of data and 600MB of file storage per user. 
Unlimited Edition provides 120MB of data and 600MB of file storage per user. ",Configuration Admin,Medium
Salesforce,Where is my data being stored? ,"Depending on your geographical location, Salesforce.com will store your data in a number of hosted facilities in North America, Europe or the Asia Pacific. ",Configuration Admin,Medium
Salesforce,Are there Apps that perform different functions and services in Salesforce.com? ,"Yes, Salesforce has its own marketplace with currently over 1500 cloud computing and business applications to download and install. ",Configuration Admin,Medium
Salesforce,What is Customer Relationship Management (CRM)? ,Customer Relationship Management (CRM) and Customer Experience Management (CEM) are about ensuring that your customers receive the best possible service from your organization. It is the drawing together of all the resources within your business to work for your customer to maximize your value to your their business. ,Configuration Admin,Easy
Salesforce,Do I need to install anything on my workstation(s) to use Salesforce.com? ,No! You can start using Salesforce.com through any web browser; however some extended functionality requires you to use Microsoft Internet Explorer because features such as mail merging from Salesforce.com to create a Word document require the installation of a small ActiveX plugin. ,Configuration Admin,Easy
Salesforce,Can I use my existing applications in conjunction with Salesforce.com? ,"Salesforce.com comes with a number of tools for integrating it with applications such as Word, Excel and Outlook. 
There is also a large pool of custom written paid for Apps and Plugins available at the 'Salesforce AppExchange. 
Further to this some versions of Salesforce.com provide access to the Salesforce.com API and if you have access to the skills of a Developer he will be able to learn to write code that might for example get Salesforce.com functioning with an existing Microsoft SQL Database. ",Configuration Admin,Medium
Salesforce,What is Data Loader and how many ways we can use Data Loader? ,"Data Loader is a client application, used for bulk import or export of data. 
Data Loader can be used in 2 ways. 
1. User Interface 
2. Command Line ",Configuration Admin,Medium
Salesforce,What are the objects supported by Data Loader? ,Data Loader supports all objects including custom objects ,Configuration Admin,Medium
Salesforce,How to delete the User from Salesforce? ,"As per now, salesforce does not allow to delete any user, however you can deactivate the user. ",Configuration Admin,Medium
Salesforce,Types of Reports in Salesforce? ,"3 types of reports in Salesforce 
Tabular reports: Tabular report is used to represent the data simply in tabular format. Summarizing on a particular field cannot be done. 
Summary reports: In summary report, we can summate or group the data based on a column. 
Matrix report: In matrix report we can summarize the data both in rows and columns. ",Configuration Admin,Medium
Salesforce,Dashboards cannot be created on which kind of Reports? ,"Dashboard can’t be created using Tabular reports. (If we specify row limit, we can create dashboards using tabular reports also) ",Configuration Admin,Hard
Salesforce,What mathematical operations can be used to summarize field data within a report (excluding custom formulas)? ,"Sum, average, max, min.  ",Configuration Admin,Easy
Salesforce,What kind of report you need to create a column grouping and row grouping for a data set (e.g. campaign by country & company)? ,Matrix Report. ,Configuration Admin,Easy
Salesforce,Can we schedule a dynamic dashboard in Salesforce? ,"No, we cannot do that in Salesforce ",Configuration Admin,Easy
Salesforce,Custom report type does not support? ,Right outer join ,Configuration Admin,Easy
Salesforce,What is filter logic? ,"determines how filters are evaluated Ex: ""And"" ""OR"" must have at least one field filter added to report to apply filter logic.  ",Configuration Admin,Medium
Salesforce,What can we use cross filters? ,"Exclude data from your report based on records RELATED to the primary report data.  
Use a cross filter to fine-tune your results by including or excluding records from related objects and their fields, without having to write formulas or code. You can apply cross filters by themselves, or in combination with field filters.  ",Configuration Admin,Medium
Salesforce,What are the issues you faced on joined reports? ,We cannot export. ,Configuration Admin,Medium
Salesforce,How does conditional highlighting work? ,"Conditional highlighting is an analytic enhancement. This feature allows you to customize your reports by showing visual highlights for analysis. 
This feature works for any quantified field (number, percent, etc.), and is also available in Dashboards. Conditional Highlighting only applies to summary rows. ",Configuration Admin,Medium
Salesforce,What is the use of Dynamic Dashboard? ,A dynamic dashboard is a dashboard setup to display data based on the viewing user's security settings. It is good for being able to display a standard set of metrics across the organization. ,Configuration Admin,Medium
Salesforce,List the components that are available in Dashboards? ,"Chart 
Horizontal Bar Chart 
Vertical Bar Chart 
Line Chart 
Pie Chart 
Donut Chart 
Funnel Chart 
Scatter Chart 
Gauge 
Metric 
Table 
Visual Force ",Configuration Admin,Medium
Salesforce,What is the use of Historical trending? ,"It allows an organization to report on changes to field values over time. For example, compare opportunity amounts today with amounts 3 months prior. 
While track field history will create an audit trail of this information, it cannot be reported on easily for comparison. Analytic snapshots provide similar features, but is cumbersome to configure, maintain, and report on for this use case. ",Configuration Admin,Medium
Salesforce,What are Embedded analytics? ,"It allows an administrator to add report charts directly to a page layout. 
The chart can be configured to show data relevant to the currently viewed record (e.g. when viewing an account, display a chart showing opportunities only associated with that account). ",Configuration Admin,Medium
Salesforce,How many digits does a record ID consists of? ,"15-digit case sensitive version: 
Obtained through reports 
18-digit case sensitive version: 
Obtained through API, the last three digits of it is the checksum of the capitalisation of first 15 characters. ",Configuration Admin,Easy
Salesforce,Why is there a soft delete? ,"When you delete records, they move to the recycle bin 
Recycle bin stores this data up to 15 days and later they are permanently deleted. ",Configuration Admin,Easy
Salesforce,Why is there a hard delete? ,"If an object and data are hard deleted the data is permanently deleted. 
Data do not count against your organisation limits 
Enable through bulk API or admin ",Configuration Admin,Easy
Salesforce,What is data import wizard? ,"The Data Import Wizard is a tool to import data for many standard Salesforce objects, including accounts, contacts, leads, solutions, campaign members, and person accounts. You can also import data for custom objects. You can import up to 50,000 records at a time. ",Configuration Admin,Medium
